timestamp,valor
2025-10-30 11:03:17,Average analog reading 99.00
2025-10-30 11:03:17,Thermistor resistance 93333.33
2025-10-30 11:03:17,Temperature -18.01 *C
2025-10-30 11:03:17,Temperatura: -180.00 °C
2025-10-30 11:03:27,Average analog reading 99.00
2025-10-30 11:03:27,Thermistor resistance 93333.33
2025-10-30 11:03:27,Temperature -18.01 *C
2025-10-30 11:03:27,Temperatura: -180.00 °C
2025-10-30 11:03:37,Average analog reading 97.60
2025-10-30 11:03:37,Thermistor resistance 94815.58
2025-10-30 11:03:37,Temperature -18.27 *C
2025-10-30 11:03:37,Temperatura: -182.00 °C
2025-10-30 11:03:47,Average analog reading 97.60
2025-10-30 11:03:47,Thermistor resistance 94815.58
2025-10-30 11:03:47,Temperature -18.27 *C
2025-10-30 11:03:47,Temperatura: -182.00 °C
2025-10-30 11:03:57,Average analog reading 95.40
2025-10-30 11:03:57,Thermistor resistance 97232.71
2025-10-30 11:03:57,Temperature -18.69 *C
2025-10-30 11:03:57,Temperatura: -186.00 °C
2025-10-30 11:04:07,Average analog reading 94.60
2025-10-30 11:04:07,Thermistor resistance 98139.53
2025-10-30 11:04:07,Temperature -18.84 *C
2025-10-30 11:04:07,Temperatura: -188.00 °C
2025-10-30 11:04:17,Average analog reading 95.00
2025-10-30 11:04:17,Thermistor resistance 97684.21
2025-10-30 11:04:18,Temperature -18.76 *C
2025-10-30 11:04:18,Temperatura: -187.00 °C
2025-10-30 11:04:28,Average analog reading 95.40
2025-10-30 11:04:28,Thermistor resistance 97232.71
2025-10-30 11:04:28,Temperature -18.69 *C
2025-10-30 11:04:28,Temperatura: -186.00 °C
2025-10-30 11:04:38,Average analog reading 96.00
2025-10-30 11:04:38,Thermistor resistance 96562.50
2025-10-30 11:04:38,Temperature -18.57 *C
2025-10-30 11:04:38,Temperatura: -185.00 °C
2025-10-30 11:04:48,Average analog reading 96.40
2025-10-30 11:04:48,Thermistor resistance 96120.33
2025-10-30 11:04:48,Temperature -18.50 *C
2025-10-30 11:04:48,Temperatura: -184.00 °C
2025-10-30 11:04:58,Average analog reading 97.00
2025-10-30 11:04:58,Thermistor resistance 95463.92
2025-10-30 11:04:58,Temperature -18.39 *C
2025-10-30 11:04:58,Temperatura: -183.00 °C
2025-10-30 11:05:08,Average analog reading 96.80
2025-10-30 11:05:08,Thermistor resistance 95681.82
2025-10-30 11:05:08,Temperature -18.42 *C
2025-10-30 11:05:08,Temperatura: -184.00 °C
